Latitude,Longitude
35.2123,-112.13483
34.49995,-112.45598
34.11563,-109.52876
34.0769,-109.48801
32.95468,-109.52834
32.99185,-109.54608
34.61601,-112.54525
31.56572,-109.72538
34.61771,-112.55026
34.30009,-110.01955
34.51983,-112.38716
33.88052,-111.61622
33.97183,-111.89378
34.33059,-111.09473
34.33059,-111.09473
34.1621,-112.29922
34.49605,-112.45034
34.27754,-110.0703
34.52505,-111.17489
34.58036,-113.42249
34.09223,-109.2005
33.55156,-111.54679
35.19861,-112.00913
31.91221,-109.97715
34.43272,-111.56345
33.64422,-109.26923
33.69699,-109.47189
35.21155,-112.13669
34.55237,-111.20771
33.61647,-109.34405
35.09864,-111.53072
34.56663,-111.1432
33.92503,-111.84453
33.29688,-111.05961
33.97006,-112.2091
33.49653,-111.29584
34.16172,-112.30008
34.40254,-111.00283
32.37465,-110.79227
32.3874,-110.711
35.96049,-114.72564
32.31971,-110.79793
33.5246,-111.30588
33.52643,-111.30748
34.82326,-111.79852
32.25444,-110.65583
34.82599,-111.79673
31.54805,-110.13641
31.49774,-110.86157
31.57249,-109.72724
31.40617,-111.08835
31.43414,-110.45692
31.54244,-110.13321
33.32538,-114.68216
34.55354,-113.50396
33.54278,-111.66877
33.30358,-114.7248
34.30259,-114.10492
